Line,Sample,X,Y,Mark,Status,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,QSum
 0,   0,        0.00,        0.00,   0,0, 41087909.600,112447.9096,    2.1, 7.76752e+002,-1.06918e+002, 5.82148e+002, 4.44424e+001, 4.60368e+002,-1.00845e+002, 3.66734e+002,-2.45763e+002, 2.95688e+002,-7.13700e+002,-1.12278e+003
 0,   1,       -0.15,        0.00,   0,0, 41088009.600,112448.0096,    3.3, 7.73028e+002,-4.26515e+002, 5.85395e+002, 1.27988e+002, 4.50256e+002,-8.68516e+001, 3.47400e+002,-2.83461e+002, 2.89326e+002,-8.50806e+002,-1.51965e+003
 0,   2,       -0.29,        0.00,   0,0, 41088109.600,112448.1096,    1.9, 8.96061e+002,-5.20634e+002, 7.27116e+002, 5.98483e+001, 7.12760e+002,-2.41370e+001, 5.22851e+002,-2.81819e+002, 4.37553e+002,-9.29482e+002,-1.69622e+003
 0,   3,       -0.44,        0.00,   0,0, 41088209.600,112448.2096,    1.5, 1.11751e+003,-3.99422e+002, 1.01475e+003, 1.03837e+002, 8.83870e+002,-1.41393e+001, 7.60140e+002,-2.63001e+002, 6.60411e+002,-9.07925e+002,-1.48065e+003
 0,   4,       -0.58,        0.00,   0,0, 41088309.600,112448.3096,    4.0, 1.05245e+003,-1.77395e+002, 1.02607e+003, 1.74152e+002, 1.05934e+003,-4.92661e+001, 9.19251e+002,-3.46580e+002, 8.94793e+002,-9.42884e+002,-1.34197e+003
 0,   5,       -0.73,        0.00,   0,0, 41088409.600,112448.4096,    7.4, 6.24455e+002, 5.97381e+002, 8.98183e+002, 8.42983e+001, 1.12833e+003,-8.31449e+001, 9.60362e+002,-2.59897e+002, 9.58386e+002,-9.24766e+002,-5.86127e+002
 0,   6,       -0.87,        0.00,   0,0, 41088509.600,112448.5096,    3.1, 4.52532e+002, 1.19102e+003, 8.93695e+002, 1.31150e+001, 1.17453e+003, 4.98551e+000, 1.01628e+003,-2.36563e+002, 1.00692e+003,-9.45794e+002, 2.67664e+001
 0,   7,       -1.02,        0.00,   0,0, 41088609.600,112448.6096,    0.3, 1.08393e+003, 4.52005e+002, 1.34771e+003, 3.38738e+000, 1.34495e+003,-5.39966e+001, 1.41046e+003,-2.77847e+002, 1.13108e+003,-9.23464e+002,-7.99915e+002
 0,   8,       -1.17,        0.00,   0,0, 41088709.600,112448.7096,    0.8, 1.61941e+003,-1.04892e+002, 1.60709e+003, 1.05312e+002, 1.54961e+003,-1.73464e+002, 1.54174e+003,-3.80673e+002, 1.37700e+003,-8.44111e+002,-1.39783e+003
 0,   9,       -1.31,        0.00,   0,0, 41088809.600,112448.8096,    2.9, 1.75375e+003,-1.73116e+002, 1.76909e+003, 1.36969e+002, 1.60147e+003,-1.56914e+002, 1.47267e+003,-4.03369e+002, 1.46663e+003,-8.11312e+002,-1.40774e+003
 0,  10,       -1.46,        0.00,   0,0, 41088909.600,112448.9096,    3.0, 1.93859e+003,-3.98525e+002, 1.73583e+003, 1.06260e+002, 1.67729e+003,-9.87800e+001, 1.40664e+003,-2.83148e+002, 1.46381e+003,-7.93020e+002,-1.46721e+003
 0,  11,       -1.60,        0.00,   0,0, 41089009.600,112449.0096,    1.4, 1.92263e+003,-5.36889e+002, 1.68779e+003, 1.22289e+001, 1.72783e+003,-8.63825e+001, 1.44318e+003,-1.95501e+002, 1.43815e+003,-8.82964e+002,-1.68951e+003
 0,  12,       -1.75,        0.00,   0,0, 41089109.600,112449.1096,    1.8, 1.84717e+003,-2.74717e+002, 1.80710e+003, 8.08811e+001, 1.66925e+003,-2.10248e+001, 1.50125e+003,-3.00846e+002, 1.38111e+003,-9.27642e+002,-1.44335e+003
 0,  13,       -1.89,        0.00,   0,0, 41089209.600,112449.2096,    4.2, 1.56565e+003, 3.12631e+002, 1.81572e+003,-2.44999e+001, 1.75372e+003,-7.62675e+001, 1.65479e+003,-2.60068e+002, 1.61058e+003,-9.24194e+002,-9.72399e+002
 0,  14,       -2.04,        0.00,   0,0, 41089309.600,112449.3096,    5.7, 1.42582e+003, 6.72059e+002, 1.54099e+003,-7.05004e+001, 1.74531e+003,-1.05693e+002, 1.69436e+003,-2.42267e+002, 1.54266e+003,-1.11048e+003,-8.56885e+002
 0,  15,       -2.18,        0.00,   0,0, 41089409.600,112449.4096,    5.0, 1.14754e+003, 1.02946e+003, 1.47027e+003,-1.83289e+001, 1.69072e+003,-3.78390e+001, 1.48294e+003,-3.55015e+002, 1.42572e+003,-9.54224e+002,-3.35950e+002
 0,  16,       -2.33,        0.00,   0,0, 41089509.600,112449.5096,    1.3, 1.29171e+003, 8.32707e+002, 1.50457e+003,-4.16781e+000, 1.67820e+003,-4.88011e+001, 1.47123e+003,-3.18911e+002, 1.40612e+003,-7.71599e+002,-3.10771e+002
 0,  17,       -2.48,        0.00,   0,0, 41089609.600,112449.6096,    3.6, 1.46862e+003,-2.00376e+002, 1.67700e+003, 6.13802e+001, 1.53849e+003,-3.96358e+001, 1.46722e+003,-3.25806e+002, 1.41518e+003,-9.07444e+002,-1.41188e+003
 0,  18,       -2.62,        0.00,   0,0, 41089709.600,112449.7096,    2.5, 1.69816e+003,-4.69469e+002, 1.75015e+003, 8.99277e+001, 1.43940e+003,-7.63469e+001, 1.47483e+003,-3.98480e+002, 1.35574e+003,-8.88997e+002,-1.74336e+003
 0,  19,       -2.77,        0.00,   0,0, 41089809.600,112449.8096,    1.5, 1.83547e+003,-3.85857e+002, 1.66980e+003, 1.33416e+002, 1.49758e+003,-1.48341e+002, 1.40788e+003,-3.51506e+002, 1.33444e+003,-8.92169e+002,-1.64446e+003
 0,  20,       -2.91,        0.00,   0,0, 41089909.600,112449.9096,    0.6, 1.66433e+003,-1.63122e+002, 1.72089e+003, 1.66532e+002, 1.61496e+003,-1.00983e+002, 1.40706e+003,-2.35996e+002, 1.38384e+003,-9.81781e+002,-1.31535e+003
 0,  21,       -3.06,        0.00,   0,0, 41090009.600,112450.0096,    2.0, 1.49170e+003,-1.07649e+001, 1.59657e+003, 3.91918e+001, 1.61541e+003,-1.15887e+002, 1.43781e+003,-1.54782e+002, 1.44023e+003,-1.04934e+003,-1.29159e+003
 0,  22,       -3.20,        0.00,   0,0, 41090109.600,112450.1096,    3.1, 1.33577e+003, 1.68488e+002, 1.42848e+003,-1.22322e+002, 1.45914e+003,-1.26113e+002, 1.53267e+003,-1.08054e+002, 1.39470e+003,-8.07232e+002,-9.95233e+002
 0,  23,       -3.35,        0.00,   0,0, 41090209.600,112450.2096,    3.1, 1.30174e+003, 3.98020e+002, 1.48272e+003,-1.92522e+001, 1.40303e+003,-2.63891e+001, 1.53707e+003,-2.25929e+002, 1.27406e+003,-6.79374e+002,-5.52924e+002
 0,  24,       -3.50,        0.00,   0,0, 41090309.600,112450.3096,    3.0, 1.33274e+003, 4.82293e+002, 1.46536e+003, 9.16738e+001, 1.38544e+003,-2.51217e+001, 1.47349e+003,-2.68435e+002, 1.14019e+003,-8.17255e+002,-5.36846e+002
